process,non_linear,sigma,run,train_size,p_spot,p_m1,ridge,lasso,mlp_seo,rnn_seo,lstm_seo,dda_ml1,dda_ml2,mlp_ieo,rnn_ieo,lstm_ieo
mr,False,10,15,73,3.59116851668886,3.862325061966248,0.24852284660042773,0.40707401863092924,0.2565565429568939,0.254332390613154,0.2817479991248374,0.5181272118636038,0.48296218495195425,0.28102271068125284,0.28102271068125284,0.37116612199069277
mr,False,10,16,25,4.898160870895621,5.220370330707568,1.181255369679761,1.1001988293889515,1.9531913160947236,1.5578049569106764,2.057035595587674,1.2217670281306376,1.1066227841973955,2.1321486230245292,2.284699188120808,2.373610780073617
mr,False,10,16,73,4.898160870895606,5.220370330707553,0.8278959621329786,0.5891921523811822,1.0123271964095732,0.8278959621329786,0.7383517021915216,0.5473041803120824,1.1975685827073206,1.4496350080454972,1.3206191544176757,1.0991423395085718
mr,False,10,17,25,4.276923567523842,4.171587528042348,1.1159313418256962,0.9649589380732719,1.2937026806232506,0.7620335033114376,1.1846861176750814,1.6724140631067734,2.463357762539253,1.4056341985899068,2.1301341018252864,2.2439094358037104
mr,False,10,17,73,4.276923567523873,4.171587528042378,0.8987644077191234,0.8987644077191234,0.7867672757602602,0.47602692122889123,0.8039866300140343,0.8987644077191234,2.1246398546207557,0.9641194932505349,1.2834391172038093,1.2834391172038093
mr,False,10,18,25,5.068689361106844,4.87886957174558,0.4460938557293924,0.647106648086505,0.5251758497076898,0.6461655099971362,0.7282518123012752,0.6584007380034753,0.5955049471670418,2.0355895397267587,2.32289293151287,1.9881215751451242
mr,False,10,18,73,5.068689361106844,4.87886957174558,0.809513976698457,0.2711365552624091,0.13860488245257074,0.4676966085116348,0.46641303039662835,0.7419739952405516,0.9849305145135921,1.3199420437132396,1.4080206437328382,1.4224989589969412
mr,False,10,19,25,4.915041438173623,4.618965765862447,2.216366678187623,2.095235538463536,2.216366678187623,1.2144500194331391,1.8988846927980019,0.8268909624498842,2.0295102164189607,0.8004342719752845,1.8467583204229403,2.1279431501578525
mr,False,10,19,73,4.915041438173638,4.618965765862432,0.40075122725331935,0.43492986421597585,0.4871052773168053,0.4508649163670231,0.4871052773168053,0.682628142335261,0.8000658694793608,0.4871052773168053,0.5653912474803697,0.5317035559802192
mr,False,10,20,25,4.744436013193175,5.033735071518904,1.3754139191177575,1.908294967104408,2.017482199576387,0.7911589778654203,2.2072653146068277,2.5571386795623225,2.5571386795623225,1.691369737843815,1.5125423535682316,2.667078712397278
mr,False,10,20,73,4.744436013193175,5.033735071518904,0.4793259666599714,0.536543959612295,0.5892890665383901,0.5218323449672639,0.4089912847600699,0.4148833522726214,1.058357245404783,1.0327839184318688,0.7748087011646961,0.7748087011646961
mr,False,10,21,25,4.702553270374878,4.91824487607572,2.510033221485368,2.510033221485368,2.510033221485368,2.066678984341157,2.783055034740136,1.0351951064684317,2.203788500101853,0.90249603544659,1.396520578565147,2.2242158568891357
mr,False,10,21,73,4.702553270374878,4.91824487607572,0.3903618587889747,0.3903618587889747,0.47598950259941686,0.47598950259941686,0.22347091845182632,0.48176784389698235,0.31075808390185633,1.0496847843618142,0.8178084514713934,1.1101923496186326
mr,False,10,22,25,3.308551520643952,3.6482131115548344,0.15171006886398442,0.15171006886398442,0.45312142929035215,0.15171006886398442,0.891370329806376,0.15171006886398442,0.43478007290797677,0.8185100787714462,0.6335446542463189,1.8086861373298977
mr,False,10,22,73,3.308551520643952,3.6482131115548344,0.23646847702630402,0.1238200851469948,0.21436949684116446,0.2643584607432936,0.2287150926004536,0.2903009096689205,0.39805036055612136,0.30819734490819684,0.09362697939662695,0.20667802771575958
mr,False,10,23,25,4.368400541261567,3.5808114601086802,0.9424022437704319,0.8693330722384336,0.9495853701825421,0.6884787364102867,1.5570993781706033,1.5407684885531356,1.588103420067411,1.0375610803653863,0.8842795536774023,1.030808166326678
mr,False,10,23,73,4.368400541261552,3.5808114601086802,0.9011087542611673,0.5996831372579475,1.1288711649564975,0.8124553237112127,0.7166602285352315,0.39825843783645065,0.5501881420310674,0.9926287979827314,0.9093764589780876,1.1002384585894325
mr,False,10,24,25,4.738755832928321,4.945863332532146,0.7360871767210408,0.5726281166922478,0.40374714478619994,0.6495900845665954,0.9759491703317044,0.9199376902513884,0.9199376902513884,1.3788591994791268,1.382281413191278,1.9279749110510895
mr,False,10,24,73,4.7387558329283355,4.945863332532146,0.5603462362027742,0.4915754727283701,0.7325602419305777,0.38665783724112146,0.7325602419305777,1.2818823919677431,2.0078226969595887,0.7239509386540275,0.731239097145785,0.6276526974462914
mr,False,10,25,25,4.7210549978733525,4.206005659590171,0.6672228979306032,0.4243037999475675,0.5324130041480278,0.8420250199097297,0.9106738481330583,0.37796305687300985,0.9193632989598393,1.579500232927087,3.383427657675205,3.2602518139384697
mr,False,10,25,73,4.721054997873321,4.206005659590141,0.5400684854086832,0.6324868110334785,0.3371931132263206,0.4168926416719477,0.8611621689696971,0.6342567337004762,0.44478325674639513,0.45164297177422863,0.7634856403875112,0.7738921911119172
mr,False,10,26,25,3.6035490806483534,4.324186781895696,1.034997730886139,0.8445289699715351,0.9394344122554952,0.9252122044760164,1.764798662170924,1.3844598585105685,1.2731241710413093,0.6960202580995143,1.8801940764361778,2.326227547447287
mr,False,10,26,73,3.6035490806483534,4.324186781895696,0.4321083600695012,0.4685698684452401,1.0729512860167494,0.4321083600695012,0.5126746039161808,0.4721170151379859,0.795940360016233,0.2382282381103693,0.8386093138805978,0.7348927219196457
mr,False,10,27,25,4.517438686168524,4.456166809420173,0.8723433023645696,0.9070913872007886,0.9161159985582639,0.7511819954140779,1.0018186312425241,2.3704418545884196,2.0306194165698517,2.2516896312858603,1.6620026913451418,1.940843265334826
mr,False,10,27,73,4.517438686168508,4.456166809420172,0.8885270314038223,1.0013548693470735,1.2131311343931128,0.9084896359650201,1.1951639702535675,1.1500370587213609,1.147408431231731,1.0842824040929206,1.061867765358808,0.9513016836096647
mr,False,10,28,25,4.175891679431245,4.619893164064367,0.3095075636885577,0.3773885210808159,1.023309594496384,0.3986464121124536,1.6567250819248713,0.5635228659542325,0.4287531178224203,1.553930979123084,1.5384467597379528,2.3677003144855933
mr,False,10,28,73,4.175891679431245,4.619893164064367,0.3095075636885577,0.5635228659542325,0.29383768743958816,0.4956419085619743,0.3095075636885577,0.7077819849477817,0.6997908063874398,0.9309258037005059,0.768680682515186,0.8365616399074592
mr,False,10,29,25,4.1664828961716385,3.7511397527012846,0.9073269632423994,0.9328554219645,1.3049061594548486,0.9263327912414132,1.0495247515997892,0.3409903147936271,1.4767338353763093,0.7420489215387863,0.7617970671073941,1.5414008047751158
mr,False,10,29,73,4.166482896171623,3.751139752701253,0.6746539306964363,0.5930457486185505,1.08828844646726,0.43837658234352017,0.5223821923302803,0.37901699597708627,1.5586368076521662,0.4407740102524398,0.5711170552638652,0.4267429441354943
mr,False,10,30,25,4.7545755232262685,4.675459301868854,0.8443590098130708,0.5089821773626133,0.5831505848509274,0.6755596199795726,0.8642844753316291,0.22784828688191153,0.22784828688191153,0.4312242516813481,0.979631217065934,1.0546464983309176
mr,False,10,30,73,4.754575523226284,4.67545930186887,0.2830087405130957,0.2413573157679751,0.6772961388104454,0.3136376891660588,0.6059068433752401,0.7137906967436093,0.865585692048898,0.7093112105305901,0.2413573157679751,0.6769320399896235
mr,False,10,31,25,3.846575543312526,3.8313026663178635,0.8449080160634751,0.5444544084032347,1.2365455141988355,1.0772141557095603,1.9267623878395652,0.8341623230821984,0.9656520122440884,1.8931760698765183,2.055651023504439,2.286321291729596
mr,False,10,31,73,3.846575543312526,3.831302666317863,0.5641364354120433,0.5895180107345114,0.6999875358196898,0.5209536613976579,0.5213034953563209,0.672714174093342,0.67565825912267,0.6951542454336992,0.504085128782812,0.6689866337394115
mr,False,10,32,25,3.2219328799630866,3.874262711675422,0.6458235661045314,0.7146153405991569,0.45097891780334465,1.0390753173632132,0.64613490240338,1.8163087641231064,1.7473187404790262,2.075318114240253,3.2002350846454286,3.055653259133584
mr,False,10,32,73,3.221932879963131,3.8742627116754367,0.6874185757564449,0.8066841577990089,0.8267205786287292,0.9829405597020736,1.0503617865899453,0.4075872440396663,0.270182377367911,1.2574642817520565,0.9151164898321438,0.9345803515586494
mr,False,10,33,25,4.761963401282177,4.857997570423508,0.38506670499476137,0.38506670499476137,0.5531787498216972,0.5216899694627335,0.6423609716411698,1.60927947067721,1.512490845129777,0.6423499090496897,0.6423499090496897,1.306122505244306
mr,False,10,33,73,4.761963401282177,4.8579975704234934,0.37641929460721374,0.39029131439989445,0.3791353257830479,0.24607740144358026,0.3791353257830479,1.2730553444786747,0.34184817190322425,0.9837352836505765,1.017288551266762,1.2930659413543248
mr,False,10,34,25,4.53994168470825,5.369906742563256,1.3914039076086544,1.7904724877845553,1.2964843740790661,0.546817878092096,1.0337451463000646,0.660365697070489,1.6357728855731213,0.60371614093188,1.2927789974936856,1.4825803301627722
